timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1685389682888,2,Login-0,302,Found,Thread Group 1-6,,true,,193,932,25,25,http://localhost:8080/jpetstore/actions/Account.action,2,0,0
1685389682890,5,Login-1,200,OK,Thread Group 1-6,text,true,,5069,677,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1685389682986,1,Main Catalog,200,OK,Thread Group 1-19,text,true,,4832,460,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685389683118,1,Home,200,OK,Thread Group 1-23,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,1,0,0
1685389683118,1,Home-0,302,Found,Thread Group 1-23,,true,,146,195,25,25,http://localhost:8080/jpetstore,1,0,0
1685389683119,0,Home-1,200,OK,Thread Group 1-23,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,0,0,0
1685389683224,4,Login,200,OK,Thread Group 1-7,text,true,,5262,1609,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685389683224,1,Login-0,302,Found,Thread Group 1-7,,true,,193,932,25,25,http://localhost:8080/jpetstore/actions/Account.action,1,0,0
1685389683225,3,Login-1,200,OK,Thread Group 1-7,text,true,,5069,677,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685389683344,1,Sign In,200,OK,Thread Group 1-16,text,true,,3925,597,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=eZT9Oyxa_z0Fj1az7DqcMse-bf8q3trFXb1K1bf7.ppss-vb?signonForm=,1,0,0
1685389683362,2,Dogs,200,OK,Thread Group 1-3,text,true,,4296,248,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS,2,0,0
1685389683396,2,Main Catalog,200,OK,Thread Group 1-20,text,true,,4832,460,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685389683548,2,Home,200,OK,Thread Group 1-24,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,0,0,0
1685389683548,0,Home-0,302,Found,Thread Group 1-24,,true,,146,195,25,25,http://localhost:8080/jpetstore,0,0,0
1685389683549,1,Home-1,200,OK,Thread Group 1-24,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,1,0,0
1685389683632,2,Sign In,200,OK,Thread Group 1-17,text,true,,3921,597,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=eZT9Oyxa_z0Fj1az7DqcMse-bf8q3trFXb1K1bf7.ppss-vb?signonForm=,2,0,0
1685389683633,2,Dogs,200,OK,Thread Group 1-4,text,true,,4296,248,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS,2,0,0
1685389683782,1,Main Catalog,200,OK,Thread Group 1-21,text,true,,4832,460,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685389683867,1,Home,200,OK,Thread Group 1-25,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,0,0,0
1685389683867,0,Home-0,302,Found,Thread Group 1-25,,true,,146,195,25,25,http://localhost:8080/jpetstore,0,0,0
1685389683867,1,Home-1,200,OK,Thread Group 1-25,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,1,0,0
1685389684046,1,Sign In,200,OK,Thread Group 1-18,text,true,,3925,597,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=eZT9Oyxa_z0Fj1az7DqcMse-bf8q3trFXb1K1bf7.ppss-vb?signonForm=,1,0,0
1685389684082,3,Login,200,OK,Thread Group 1-8,text,true,,5262,1609,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685389684082,2,Login-0,302,Found,Thread Group 1-8,,true,,193,932,25,25,http://localhost:8080/jpetstore/actions/Account.action,2,0,0
1685389684084,1,Login-1,200,OK,Thread Group 1-8,text,true,,5069,677,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685389684167,4,Login,200,OK,Thread Group 1-9,text,true,,5262,1609,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685389684167,2,Login-0,302,Found,Thread Group 1-9,,true,,193,932,25,25,http://localhost:8080/jpetstore/actions/Account.action,2,0,0
1685389684169,2,Login-1,200,OK,Thread Group 1-9,text,true,,5069,677,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685389684212,1,Main Catalog,200,OK,Thread Group 1-22,text,true,,4832,460,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685389684216,2,Sign Out,200,OK,Thread Group 1-1,text,true,,5255,1059,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685389684216,1,Sign Out-0,302,Found,Thread Group 1-1,,true,,333,534,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,1,0,0
1685389684217,1,Sign Out-1,200,OK,Thread Group 1-1,text,true,,4922,525,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685389684292,2,Dogs,200,OK,Thread Group 1-5,text,true,,4296,248,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS,2,0,0
1685389684390,7,Sign Out,200,OK,Thread Group 1-2,text,true,,5255,1059,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685389684390,4,Sign Out-0,302,Found,Thread Group 1-2,,true,,333,534,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,4,0,0
1685389684394,3,Sign Out-1,200,OK,Thread Group 1-2,text,true,,4922,525,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
